"achievements_description_ACHIEVEMENT_WIN_ED_CAMPAIGN_AS_GALLIC_ROME"	"Complete the Empire Divided campaign as Gallic Rome."	"True"
"achievements_title_ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_ATHENS"	"Philosopher King"	"True"
"achievements_title_ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_ARVENI"	"Vercingetorix"	"True"
"achievements_description_ACHIEVEMENT_COMPLETE_AN_ENTIRE_CAMPAIGN_WINNING_EVERY_BATTLE_EXCEPT_ONE_WITHOUT_AUTORESOLVE"	"Complete an entire campaign, winning every battle except one, without auto-resolving."	"True"
"achievements_description_ACHIEVEMENT_ATTAIN_MAXIMUM_RANK_SPY"	"Attain the maximum rank with a spy-type agent during a campaign."	"True"
"achievements_title_ACHIEVEMENT_WIN_CAMPAIGN_MILITARY_VICTORY"	"I Came, I Saw, I Conquered"	"True"
"achievements_description_ACHIEVEMENT_SINK_MORE_THAN_10_SHIPS_A_SINGLE_CAMPAIGN_BATTLE"	"Sink more than 10 enemy ships in a single campaign battle."	"True"
"achievements_description_ACHIEVEMENT_AS_BARBARIANS_SACK_ROME"	"Sack the city of Rome as a barbarian tribe in the Grand Campaign."	"True"
"achievements_title_ACHIEVEMENT_ISSUE_10_EDICTS_IN_CAMPAIGN"	"Praetor"	"True"
"achievements_title_ACHIEVEMENT_WIN_EMPEROR_CAMPAIGN_AS_ANTONY"	"A Plain, Blunt Man"	"True"
"achievements_title_ACHIEVEMENT_INV_ETRUSCAN_CAPITAL_LEVEL_MAX"	"Etruscan Megapolis"	"True"
"achievements_description_ACHIEVEMENT_SIEGE_AND_CAPTURE_CITY_BY_VICTORY_POINTS"	"Successfully siege and capture a city by seizing its victory points during a campaign battle."	"True"
"achievements_description_ACHIEVEMENT_WIN_EMPEROR_CAMPAIGN_AS_LEPIDUS"	"Complete the Imperator Augustus campaign as Lepidus' Rome."	"True"
"achievements_title_ACHIEVEMENT_WIN_50_CAMPAIGN_NAVAL_BATTLES"	"Praefectus Classis"	"True"
"achievements_description_ACHIEVEMENT_WIN_MP_CAMPAIGN"	"Win a multiplayer campaign."	"True"
"achievements_title_ACHIEVEMENT_WIN_GREEK_CAMPAIGN_AS_ATHENAI"	"The Golden Age"	"True"
"achievements_description_ACHIEVEMENT_DEFEND_ENCAMPMENT_WITHOUT_LOSING_VICTORY_POINTS"	"Successfully defend an encampment, during a campaign, without losing more than 10% of your starting force."	"True"
"achievements_description_ACHIEVEMENT_FIGHT_A_CAMPAIGN_COMBINED_LAND_AND_NAVAL_BATTLE"	"Fight a combined battle during a campaign using both land and naval forces."	"True"
