"encyclopedia_template_strings_text_total_war_rome_ii"	"Total War: ROME II"	"True"
"encyclopedia_template_strings_text_starting_region"	"Starting Region(s)"	"True"
"encyclopedia_template_strings_text_featured_tutorial"	"Featured Tutorial"	"True"
"encyclopedia_template_strings_text_view_by_faction"	"View By Faction"	"True"
"encyclopedia_template_strings_text_hannibal_at_the_gates_only"	"Hannibal at the Gates only"	"True"
"encyclopedia_template_strings_text_tutorials"	"Tutorials"	"True"
"encyclopedia_template_strings_text_satrapy_client_state_of"	"Satrapy/Client State Of"	"True"
"encyclopedia_template_strings_text_select_a_culture"	"Select a Culture"	"True"
"encyclopedia_template_strings_text_emperor_edition"	"Emperor Edition"	"True"
"encyclopedia_template_strings_text_enables"	"Enables"	"True"
"encyclopedia_template_strings_text_regions"	"Regions"	"True"
"encyclopedia_template_strings_text_actions"	"Actions"	"True"
"encyclopedia_template_strings_text_resources"	"Resources"	"True"
"encyclopedia_template_strings_text_buildings"	"Buildings"	"True"
"encyclopedia_template_strings_text_view_by_culture"	"View By Culture"	"True"
"encyclopedia_template_strings_text_select_a_faction"	"Select a Faction"	"True"
"encyclopedia_template_strings_text_featured_videos"	"Featured Videos:"	"True"
"encyclopedia_template_strings_text_abilities"	"Abilities"	"True"
"encyclopedia_template_strings_text_historical_info"	"Historical Info"	"True"
"encyclopedia_template_strings_text_read_more"	"Read More"	"True"
"encyclopedia_template_strings_text_specialist_units"	"Specialist Units"	"True"
"encyclopedia_template_strings_text_an_error_occurred"	"An error occurred"	"True"
"encyclopedia_template_strings_text_settlement_name"	"Settlement Name"	"True"
"encyclopedia_template_strings_text_compare"	"Compare"	"True"
"encyclopedia_template_strings_text_black_sea_colonies_only"	"Black Sea Colonies only"	"True"
"encyclopedia_template_strings_text_comparison_tool"	"Comparison Tool"	"True"
"encyclopedia_template_strings_text_unit_name"	"Unit Name"	"True"
"encyclopedia_template_strings_text_pirates_and_raiders_only"	"Pirates & Raiders only"	"True"
"encyclopedia_template_strings_text_recruitment_cost"	"Recruitment Cost"	"True"
"encyclopedia_template_strings_text_traditions"	"Traditions"	"True"
"encyclopedia_template_strings_text_requires"	"Requires"	"True"
"encyclopedia_template_strings_text_eastern_buildings"	"Eastern Buildings"	"True"
"encyclopedia_template_strings_text_characters"	"Characters"	"True"
"encyclopedia_template_strings_text_search_results_found_for"	"%d search results found for "%s"."	"True"
"encyclopedia_template_strings_text_settlement"	"Settlement"	"True"
"encyclopedia_template_strings_text_region_information"	"Region Information"	"True"
