"faction_politics_government_actions_junctions_description_inv_samnites_ver_sacruminv_samnitesTRIGGER_EVENT"	"Assemble the youth of your capital to march in search of new lands to conquer. \n\n An army of 20 units will spawn at your capital province. The province will suffer reduced growth and recruitment slots but public order and party loyalty are increased.  The effect will last 5 turns."	"True"
"faction_politics_government_actions_junctions_title_inv_elect_consulsinv_romeELECT_CONSULS"	"Elect Consuls"	"True"
"faction_politics_government_actions_junctions_title_inv_taranto_scientific_commissioninv_tarantoTRIGGER_EVENT"	"Scientific Commission"	"True"
"faction_politics_government_actions_junctions_description_inv_veneti_breed_militaryinv_venetiTRIGGER_EVENT"	"Expand the royal herd with fierce steeds, bred for service in battle.\n\n Increases replenishment rate, recruitment slot, unit charge, cavalry recruits experience and morale. Reduces tax rate and public order. The effect lasts 8 turns."	"True"
"faction_politics_government_actions_junctions_description_inv_taranto_write_treatiseinv_tarantoTRIGGER_EVENT"	"Order the court philosophers to write a scientific work on an area of their choosing.\n\n Provides one of several beneficial effects in regard to military or civil matter. The effect will last 6 turns."	"True"
"faction_politics_government_actions_junctions_title_inv_insubre_divine_willinv_insubresTRIGGER_EVENT"	"Divine Will"	"True"
"faction_politics_government_actions_junctions_description_inv_taranto_scientific_commissioninv_tarantoTRIGGER_EVENT"	"Instruct the court philosophers to assist with the research effort.\n\n A new technology will be unlocked at random."	"True"
"faction_politics_government_actions_junctions_description_inv_insubre_divine_willinv_insubresTRIGGER_EVENT"	"Have the druids gather the noblemen and reveal to them the will of the gods. \n\n Your druids will work towards improving the loyalty of other parties. The effect will last 5 turns. The druids are not always successful and might fail."	"True"
"faction_politics_government_actions_junctions_title_inv_insubre_motivate_populaceinv_insubresTRIGGER_EVENT"	"Motivate Populace"	"True"
"faction_politics_government_actions_junctions_title_inv_veneti_breed_militaryinv_venetiTRIGGER_EVENT"	"Breed Horses for the Army"	"True"
"faction_politics_government_actions_junctions_title_inv_samnites_ver_sacruminv_samnitesTRIGGER_EVENT"	"Ver Sacrum"	"True"
"faction_politics_government_actions_junctions_description_inv_elect_consulsinv_romeELECT_CONSULS"	"Let the people of Roma elect those who govern them. \n\n Your two top gravitas generals become consuls, providing provincial bonuses and morale boost for their armies. The effect lasts 4 turns."	"True"
"faction_politics_government_actions_junctions_title_inv_senone_divinationinv_senonesTRIGGER_EVENT"	"Divination"	"True"
"faction_politics_government_actions_junctions_description_inv_iolei_sardinian_tournamentinv_ioleiTRIGGER_EVENT"	"The priests claim that the gods are disappointed with our lack of warrior spirit; ritual combat will help us regain divine favour. \n\n Provides one of several beneficial effects in regard to military or civil matter. The effect will last 5 turns."	"True"
"faction_politics_government_actions_junctions_description_inv_senone_divinationinv_senonesTRIGGER_EVENT"	"Have the druids read the fortune of a commander and reveal his destiny.\n\n One of your generals will receive a bonus when fighting in specific circumstances. The effect will last 5 turns."	"True"
"faction_politics_government_actions_junctions_title_inv_senone_war_decreeinv_senonesTRIGGER_EVENT"	"War Decree"	"True"
"faction_politics_government_actions_junctions_title_inv_veneti_breed_civilinv_venetiTRIGGER_EVENT"	"Breed Horses for the Workers"	"True"
"faction_politics_government_actions_junctions_title_inv_taranto_write_treatiseinv_tarantoTRIGGER_EVENT"	"Write Treatise"	"True"
"faction_politics_government_actions_junctions_description_inv_veneti_breed_civilinv_venetiTRIGGER_EVENT"	"Create a smaller, mellower breed with high endurance for use in everyday labour.\n\n Increases income from all sources, public order and reduces construction costs. Reduces loyalty and recruitment slots. The effect lasts 8 turns."	"True"
"faction_politics_government_actions_junctions_title_inv_appoint_dictatorinv_romeAPPOINT_DICTATOR"	"Appoint Dictator"	"True"
"faction_politics_government_actions_junctions_title_inv_syracuse_colonyinv_syracuseTRIGGER_EVENT"	"Send Expedition"	"True"
"faction_politics_government_actions_junctions_title_inv_etruscan_summitinv_tarchunaTRIGGER_EVENT"	"Hold Summit"	"True"
"faction_politics_government_actions_junctions_description_inv_senone_war_decreeinv_senonesTRIGGER_EVENT"	"Consult the druids to find out which people offend the gods the most.\n\n All your generals will receive bonuses when fighting factions of a specific culture. The effect will last 5 turns."	"True"
"faction_politics_government_actions_junctions_description_inv_etruscan_summitinv_tarchunaTRIGGER_EVENT"	"Gather the influential figures of the Twelve Cities to discuss the matters of the day. \n\n Provides one of several beneficial effects in regard to military or civil matter. The effect will last 4 turns."	"True"
"faction_politics_government_actions_junctions_description_inv_insubre_motivate_populaceinv_insubresTRIGGER_EVENT"	"Send out the druids to resolve everyday matters among the commoners. \n\n Your druids will work towards improving the public order  of the populace. The effect will last 5 turns. The druids are not always successful and might fail."	"True"
"faction_politics_government_actions_junctions_description_inv_appoint_dictatorinv_romeAPPOINT_DICTATOR"	"In times of crisis, one man must wield all the power in Roma. \n\n Select one of your three top gravitas generals. They will receive bonuses to their campaign map movement speed, replenishment rate and morale, while improving the public order in all your lands. The effect will last for two turns."	"True"
"faction_politics_government_actions_junctions_description_inv_syracuse_colonyinv_syracuseTRIGGER_EVENT"	"Gather able men and send them out to explore the seas! Hopefully, we'll find rich lands to settle!\n\n Depending on which territory you select for the founding of a colony, you will receive factionwide bonuses and a strategic resource. The effect will last 12 turns."	"True"
"faction_politics_government_actions_junctions_title_inv_iolei_sardinian_tournamentinv_ioleiTRIGGER_EVENT"	"Sardinian Tournament"	"True"
