"cdir_events_dilemma_choice_details_localised_choice_title_rom_young_challengerTHIRD"	"Σκότωσε τον"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_young_challengerSECOND"	"Κάν' τον να σιωπήσει"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_young_challengerFOURTH"	"Δώσ' του ένα αξίωμα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_young_challengerFIRST"	"Ασ' τον να μιλάει"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_useless_bureauracySECOND"	"Αξίζουν περισσότερα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_useless_bureauracyFIRST"	"Μην παρέμβεις"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_temple_sacrilegeTHIRD"	"Τιμώρησε τον μόνος σου"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_temple_sacrilegeSECOND"	"Παράδωσε τον"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_temple_sacrilegeFOURTH"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_temple_sacrilegeFIRST"	"Εξαγόρασε το ναό"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_wreckingTHIRD"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_wreckingSECOND"	"Συνεργάσου μαζί του"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_wreckingFIRST"	"Τιμώρησε τον"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_trade_aventine_gang_followupTHIRD"	"Εκκένωσε τις αποβάθρες"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_trade_aventine_gang_followupSECOND"	"Δωροδόκησε τους"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_trade_aventine_gang_followupFOURTH"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_trade_aventine_gang_followupFIRST"	"Απείλησε τους"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_trade_aventine_gang_1THIRD"	"Σκότωσε τους ηγέτες"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_trade_aventine_gang_1SECOND"	"Δωροδόκησε τους"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_trade_aventine_gang_1FOURTH"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_trade_aventine_gang_1FIRST"	"Απείλησε τους"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_4_vestalTHIRD"	"Άσ' την να φύγει"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_4_vestalSECOND"	"Φυλάκισε την"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_4_vestalFOURTH"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_4_vestalFIRST"	"Σκότωσε την"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_3_augresTHIRD"	"Θυσίασε 100 λευκούς ταύρους"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_3_augresSECOND"	"Θυσίασε ένα από κάθε είδος ιερού ζώου"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_3_augresFOURTH"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_3_augresFIRST"	"Θυσίασε έναν λευκό ταύρο"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_2_chickensTHIRD"	"Θυσίασε έναν λευκό ταύρο"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_2_chickensSECOND"	"Θυσίασε έναν λευκό αμνό"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_2_chickensFOURTH"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_2_chickensFIRST"	"Πρέπει να γιορτάσουμε!"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_1_haruspayTHIRD"	"Θυσίασε 100 ταύρους"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_1_haruspaySECOND"	"Θυσίασε έναν λευκό ταύρο"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_1_haruspayFOURTH"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_religious_1_haruspayFIRST"	"Θυσίασε έναν άλλο κάπρο"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_5_CaptainTHIRD"	"Ασ' τον να φύγει"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_5_CaptainSECOND"	"Βασάνισε τον"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_5_CaptainFOURTH"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_5_CaptainFIRST"	"Ανάκρινε τον"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_4_CharioteerTHIRD"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_4_CharioteerSECOND"	"Διάταξε την κατασκεύη ενός αγάλματος"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_4_CharioteerFIRST"	"Δημόσια κηδεία"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_3_GladiatorTHIRD"	"Στείλε τον σε περιοδεία"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_3_GladiatorSECOND"	"Κράτησε τον στην αρένα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_3_GladiatorFOURTH"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_3_GladiatorFIRST"	"Απελευθέρωσε τον"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_2_LanistaTHIRD"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_2_LanistaSECOND"	"Πρόσφερε του χρήματα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_2_LanistaFIRST"	"Σκότωσε τον"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_1_StrangerTHIRD"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_1_StrangerSECOND"	"Διώξε την"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_profession_1_StrangerFIRST"	"Αγόρασε τα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_legate_4_Plenty_slavesTHIRD"	"Μην κάνεις τίποτα"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_legate_4_Plenty_slavesSECOND"	"Εκτέλεσε τους σκλάβους"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_legate_4_Plenty_slavesFIRST"	"Απελευθέρωσε τους σκλάβους"	"True"
"cdir_events_dilemma_choice_details_localised_choice_title_rom_subject_roman_legate_3_Lack_slavesTHIRD"	"Μην κάνεις τίποτα"	"True"
