"building_short_description_texts_short_description_dk_kush_hunters_2_short"	"In touch with the ground. On the hunt."	"True"
"building_short_description_texts_short_description_dk_kush_hunters_3_short"	"We are the hunters, not the hunted."	"True"
"building_short_description_texts_short_description_dk_kush_hunters_4_short"	"The hunter takes his prey, the law of the nature he obeys."	"True"
"building_short_description_texts_short_description_inv_gre_military_polemistes_short"	"There is an art to warfare that requires practice."	"True"
"building_short_description_texts_short_description_twr2_rome_rome_Water_Tank_short"	"A prudent ruler allows for times of shortage in all things, even the simplest."	"True"
"building_short_description_texts_short_description_purple_dye_master_works"	"Only the richest Tyrian purple is worthy of an emperor."	"True"
"building_short_description_texts_short_description_pel_temple_apollo"	"He is the warmth and light of the sun; the truth of what will be."	"True"
"building_short_description_texts_short_description_twr2_rome_barbarian_Fishermen's_huts_short"	"The salmon of wisdom calls to fishermen."	"True"
"building_short_description_texts_short_description_twr2_rome_greek_Grain_market_short"	"Grain feeds the city; well-fed men do their betters' bidding."	"True"
"building_short_description_texts_short_description_twr2_rome_rome_Manipular_Barracks_short"	"Legionaries must be housed and trained, so that they may stand in harm's way."	"True"
"building_short_description_texts_short_description_gaul_civilised_monumental_architect_short"	"Great builders, working for the glory of their gods and people."	"True"
"building_short_description_texts_short_description_twr2_rome_eastern_Wrestling_arena_short"	"The earliest of spectator sports, wrestling is an ancient tradition."	"True"
"building_short_description_texts_short_description_barb_horn_maker"	"May your horn sound the charge but never the retreat."	"True"
"building_short_description_texts_short_description_twr2_rome_egypt_Temple_of_zeus_ammon_short"	"Zeus Ammon is widely revered by Greeks and Egyptians."	"True"
"building_short_description_texts_short_description_twr2_rome_egypt_Shrine_of_horus_short"	"Horus, bringer of the dawn and of wisdom, gives much to the people."	"True"
"building_short_description_texts_short_description_twr2_rome_eastern_Village_short"	"An established village, growing by hard toil and devout effort."	"True"
"building_short_description_texts_short_description_twr2_rome_rome_Brick_Kiln_short"	"Let lesser people, not Romans, build in wood."	"True"
"building_short_description_texts_short_description_twr2_rome_celts_Shrine_of_andaste_short"	"All who seek glory in battle should honour Andraste."	"True"
"building_short_description_texts_short_description_twr2_rome_eastern_Royal_mausoleum_short"	"For great rulers, death is a reminder of greatness."	"True"
"building_short_description_texts_short_description_twr2_rome_dlc_nomadic_Enaree_Tent_short"	"More than a man's fate may be read from the linden tree."	"True"
"building_short_description_texts_short_description_inv_ita_religious_kerres_4_short"	"The worship of the mother, beloved of her people, brings bounty to the tribes."	"True"
"building_short_description_texts_short_description_inv_etr_minor_port_short"	"The sea is a fluid border."	"True"
"building_short_description_texts_short_description_east_master_trader"	"The shrewd trader shares arak and renews old friendships before the purse is opened."	"True"
"building_short_description_texts_short_description_twr2_rome_germanic_Shrine_of_fraujaz_short"	"Those who hope for strong sons honour Fraujaz."	"True"
"building_short_description_texts_short_description_pel_food_warehouse"	"There may be abundance now, but who knows what hardships the gods may send our way\?"	"True"
"building_short_description_texts_short_description_twr2_rome_egypt_Shrine_of_hathor_and_maat_short"	"Joy and love, truth and justice: all are celebrated."	"True"
"building_short_description_texts_short_description_twr2_rome_eastern_Irrigated_farms_short"	"With careful planning water brings abundance."	"True"
"building_short_description_texts_short_description_gaul_roman_quarry_short"	"Raw materials for the advancement and magnificence of Rome."	"True"
"building_short_description_texts_short_description_amber_collector"	"“This gem contains a fly that Achilles swatted at the gates of Troy, you know...”"	"True"
"building_short_description_texts_short_description_twr2_rome_greek_Shrine_of_hephaistos_short"	"Hephaistos is patron of smithing and sculpture, and men do well to honour his works."	"True"
"building_short_description_texts_short_description_twr2_rome_rome_Basilica_of_Mars_short"	"Honouring Mars brings a martial spirit to the city."	"True"
"building_short_description_texts_short_description_inv_ven_religious_diomedes_4_short"	"The white stallion heads towards the eternal pastures."	"True"
"building_short_description_texts_short_description_gaul_civilised_stone_cutter_short"	"Artisans and skilled labourers, working and shaping stone in-situ."	"True"
"building_short_description_texts_short_description_twr2_rome_egypt_Shrine_of_zeus_ammon_short"	"Praise be to Zeus Ammon, father of Alexander."	"True"
"building_short_description_texts_short_description_twr2_rome_greek_Horse_corral_short"	"Regular practice and training conditions both riders and horses for war."	"True"
"building_short_description_texts_short_description_twr2_rome_greek_Skirmisher_camp_short"	"There is an art to skirmishing that requires practice."	"True"
"building_short_description_texts_short_description_twr2_rome_egypt_Temple_of_imhotep_short"	"Give honour to Imhotep, wisest of the wise, and healer of healers!"	"True"
"building_short_description_texts_short_description_gaul_barbarian_sluiced_mine_short"	"Controlling water levels and flow to uncover ore veins."	"True"
"building_short_description_texts_short_description_3c_east_admin_TownGuard"	"A spear and a shield is all it takes to lay criminals low."	"True"
"building_short_description_texts_short_description_3c_east_navalbuff_SailorsTents"	"When you need to quickly gather a crew, even humble quarters will suffice."	"True"
"building_short_description_texts_short_description_3c_rom_admin_Rationalis"	"The river of money flows through this place on its way to the Imperial treasury."	"True"
"building_short_description_texts_short_description_twr2_rome_celts_Sanctuary_of_epona_short"	"The wisdom of Epona is shared with those who do her honour."	"True"
"building_short_description_texts_short_description_twr2_rome_barbarian_Hamlet_short"	"From tiny acorns great oaks grow."	"True"
"building_short_description_texts_short_description_twr2_rome_greek_Blacksmith_short"	"Blacksmiths forged the ancient world, in bronze, iron and steel."	"True"
"building_short_description_texts_short_description_twr2_rome_carthage_Temple_of_melqart_short"	"Merchants and trade flourish where Melqart is honoured."	"True"
"building_short_description_texts_short_description_twr2_rome_egypt_Shrine_of_serapis_short"	"Egyptians and Greeks can worship Serapis in equality."	"True"
"building_short_description_texts_short_description_pirates_illyrian_sanctuary_bindus_short"	"Wind and wave are his to command."	"True"
"building_short_description_texts_short_description_pirates_dacian_sanctuary_zalmoxis_short"	"Oh, Zalmoxis! Receive our messenger, delivered at spearpoint."	"True"
"building_short_description_texts_short_description_inv_etr_minor_town_short"	"Where civilisation is born."	"True"
"building_short_description_texts_short_description_east_canal"	"Where the waters flow, life flourishes."	"True"
"building_short_description_texts_short_description_twr2_rome_barbarian_Canals_short"	"To bend water to our will is a great power indeed."	"True"
"building_short_description_texts_short_description_twr2_rome_greek_Temple_of_hephaistos_short"	"The fire god Hephaistos helps those workers who honour him."	"True"
"building_short_description_texts_short_description_twr2_rome_greek_Kleroukhia_short"	"A shining centre of politics, religion and trade for the people."	"True"
"building_short_description_texts_short_description_twr2_rome_rome_Pantheon_short"	"Pay your respects to all the gods and they shall bless you in return."	"True"
"building_short_description_texts_short_description_barb_carnyx_maker"	"The trumpet is given shape to match its roar."	"True"
"building_short_description_texts_short_description_twr2_rome_egypt_Shrine_of_imhotep_short"	"The worship of Imhotep, Brother of Thoth, is a righteous path to wisdom and healing."	"True"
"building_short_description_texts_short_description_pel_megas_limen"	"From the city walls to the shore and beyond, we extend our power."	"True"
"building_short_description_texts_short_description_twr2_rome_carthage_Shrine_of_melqart_short"	"A shrine to Melqart, the god of trade and the underworld."	"True"
"building_short_description_texts_short_description_twr2_rome_greek_Fishmarket_short"	"Once dried and salted, fish can be traded far and wide."	"True"
"building_short_description_texts_short_description_twr2_rome_rome_Shrine_of_Vulcan_short"	"Fear the might of the fire god dwelling in the heart of the volcano."	"True"
"building_short_description_texts_short_description_twr2_rome_rome_Emporium_short"	"What cannot be bought is not worth buying."	"True"
"building_short_description_texts_short_description_east_satrap_kerta"	"A flourishing province brings its governor prosperity."	"True"
"building_short_description_texts_short_description_twr2_rome_celts_Grove_of_tuotatis_short"	"Toutatis offers his protection to those who honour him."	"True"
